tier,score,name,ein,city,zip,metro_atlanta,focus,ntee,irs_status,form,fy,total_assets,total_revenue,grants_paid,loans_receivable,program_related_investments,why_shortlisted,suggested_segment,suggested_org_type,website,mission,approve
3,4,Clairmont Crest Inc,87-0759408,Decatur,30033,yes,Housing,L220,Public charity: program-service supported 509(a)(2),990,2021,17271038,2349495,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.BRCGA.ORG,TO ENRICH THE LIVES OF SENIOR ADULTS BY EMPOWERING EACH INDIVIDUAL TO FLOURISH WHILE AGING IN PLACE WITHIN A CHRISTIAN ENVIRONMENT.,
3,4,National Black Food And Justice Alliance,86-2075766,Atlanta,30310,yes,Food & Agriculture,K20,Public charity: publicly supported 170(b)(1)(A)(vi),990,2024,15500000,15200000,0,0,0,Food & Agriculture,Capital Seeker,Nonprofit (Community Dev. or Social Services),,,
3,4,Annandale At Suwanee Inc,58-6081470,Suwanee,30024,yes,Health (mental/crisis),F34Z,Public charity: program-service supported 509(a)(2),990,2021,15093838,16013785,0,0,0,Health (mental/crisis),Capital Seeker,Nonprofit (Community Dev. or Social Services),www.annandale.org,To perpetuate a Village community to provide progressive life assistance to adults with developmental disabilities so that they can maximize their abilities and maintain their independence in the least restrictive enviro,
3,4,Historic District Development Corporation,58-1447368,Atlanta,30312,yes,Housing,L200,Public charity: program-service supported 509(a)(2),990,2021,13935922,3211112,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.HDDC.ORG,THE HISTORIC DISTRICT DEVELOPMENT CORPORATION IS A COMMUNITY BASED NONPROFIT WHOSE MISSION IS TO FACILITATE THE PRESERVATION AND REVITALIZATION OF THE MLK JR NATIONAL HISTORIC DISTRICT AND OTHER HISTORIC/PRESERVATION COM,
3,4,3Keys Inc,58-1899845,Dresden Dr,30341,yes,Housing,L20,Public charity: publicly supported 170(b)(1)(A)(vi),990,2022,13817354,3261473,0,0,-20561,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.THE3KEYS.ORG,THE MISSION OF 3KEYS IS TO DEVELOP AND MANAGE AFFORDABLE PERMANENT HOUSING WITH ON-SITE SUPPORTIVE SERVICES FOR ADULTS FACING THE CHALLENGES OF MENTAL ILLNESS AND HOMELESSNESS.,
3,4,Clairmont Oaks Inc,23-7336582,Decatur,30030,yes,Housing,L21Z,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,12058022,3642909,6114,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.CLAIRMONTOAKS.ORG,"QUALITY, LOW INCOME HOUSING AND SERVICES FOR THE ELDERLY.",
3,4,Taitanchi Foundation Inc,47-5484709,Atlanta,30307,yes,Philanthropy / Grantmaking,T20,Private non-operating foundation,990-PF,2023,11931133,735128,0,0,0,grantmaker,Capital Allocator,Foundation (Private),,,
3,4,Ascensa Health Inc,58-6045872,Atlanta,30308,yes,Health (mental/crisis),F220,Public charity: program-service supported 509(a)(2),990,2021,11423584,7096838,0,0,0,Health (mental/crisis),Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.STJUDESRECOVERY.ORG,TO PROVIDE A COMPREHENSIVE SYSTEM OF CARE THAT SUSTAINS LONG TERM RECOVERY FROM ADDICTION AND MENTAL ILLNESS.,
3,4,Galleria Manor Senior Development Inc,30-0606247,Smyrna,30080,yes,Housing,L21,Public charity: program-service supported 509(a)(2),990,2021,11115955,929840,66624,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),N/A,"TO ACQUIRE, CONSTRUCT, OWN AND OPERATE AN 88 UNIT RENTAL HOUSING FACILITY FOR LOW-INCOME ELDERLY RESIDENTS KNOWN AS GALLERIA MANOR LOCATED IN SMYRNA, GEORGIA.",
3,4,No Longer Bound Inc,58-1927695,Cumming,30041,yes,Health (mental/crisis),F50Z,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,9214610,7198050,0,0,0,Health (mental/crisis),Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.NOLONGERBOUND.ORG,"NO LONGER BOUND IS A FAITH-BASED MINISTRY THAT PROVIDES AN INPATIENT RECOVERY CENTER FOR ADDICTION, SUPPORT PROGRAMS FOR MEN, WOMEN AND FAMILIES SUFFERING FROM ADDICTIONS, AND THE DISTRIBUTION OF FOOD, CLOTHING, AND AUTO",
3,4,Rainbow Village Inc,58-2181183,Duluth,30096,yes,Housing,L40,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,9090525,2152472,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.RAINBOWVILLAGE.ORG,"RAINBOW VILLAGE TRANSFORMS THE LIVES OF HOMELESS FAMILIES WITH CHILDREN BY PROVIDING A STABLE COMMUNITY AND SERVICES THAT INSTILL INITIATIVE, SELF- DEVELOPMENT AND ACCOUNTABILITY FOR FUTURE GENERATIONS.",
3,4,The Extension Inc,58-1915156,Marietta,30061,yes,Housing,L41Z,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,8938510,4154653,320054,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),THEEXTENSION.ORG,"PROFESSIONAL ADDICTION COUNSELING AND SUPPORT SERVICES, INCLUDING A RESIDENTIAL PROGRAM FOR THOSE UNDERGOING REHAB. PROVIDES COUNSELING AND EMERGENCY WINTER SHELTER WITH RELATED SERVICES.",
3,4,Tulsa Pythian Manor Inc,73-0783486,Alpharetta,30004,yes,Housing,L20,Public charity: program-service supported 509(a)(2),990,2021,8837966,2056413,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),N/A,PROVIDE AFFORDABLE RENTAL HOUSING FOR LOW TO MODERATE INCOME HANDICAPPED AND ELDERLY FAMILIES AND INDIVIDUALS.,
3,4,Little River Property Management Inc,45-3563785,Carrollton,30117,yes,Housing,L40,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,8405369,2033301,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.CARROLLTONHOUSINGAUTHORITY.COM,"TO PROMOTE AFFORDABLE HOUSING OPPORTUNITIES TO VERY LOW, LOW, AND MODERATE INCOME FAMILIES, SENIOR CITIZENS, AND THE DISABLED.",
3,4,Gwinnett Housing Corporation,58-2338247,Lawrenceville,30046,yes,Housing,L80,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,8038451,1439253,171531,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.GWINETTHOUSING.ORG,TO EXPAND AFFORDABLE HOUSING IN GWINNETT COUNTY TO SERVE LOW AND MODERATE INCOME FAMILIES.,
3,4,Efficient Government Public Service Inc,83-1503532,Atlanta,30342,yes,Housing,L19,Public charity: publicly supported 170(b)(1)(A)(vi),990,2022,7952637,916959,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),,"TO BETTER THE CONDITION OF SOCIETY AND LESSEN THE BURDENS OF GOVERNMENT BY PROVIDING SERVICES AND FACILITATING TRANSACTIONS ON A NOT FOR PROFIT BASIS TO NONPROFIT AND GOVERNMENTAL ENTITIES AT A COST LESS THAN, OR OTHERWI",
